transferType,text,year,season,player,rowId,team,owner,transferTypeId
departure," ,, L.) - 05 Janu 2015",2014,1,Podolski,1,Inter,,2
departure," ,, L.) - 03 Nove 2014",2014,1,Coquelin,1,Charlton,,2
departure," ,, 8 M€) - 08 Augu 2013",2013,1,Gervinho,1,AS Roma,,2
departure," ,, L.) - 05 Augu 2013",2013,1,Miquel,1,Leicester,,2
departure," ,, L.) - 25 July 2013",2013,1,Campbell,1,Olympiacos,,2
arrival," , (,, 12 M€) - 18 July 2011",2011,1,Gervinho,1,Lille,Arsenal,1
arrival," , (,) - 01 July 2011",2011,1,Gnabry,1,Stuttgart B,Arsenal,1
departure," ,, L.) - 04 Janu 2013",2012,1,Chamakh,1,West Ham,,2
departure," ,, L.) - 31 Augu 2012",2012,1,Bendtner,1,Juventus,,2
departure," ,, L.) - 31 Augu 2012",2012,1,Park,1,Celta Vigo,,2
departure," ,, 0 €) - 01 July 2010",2010,1,Campbell,1,,,2
departure," ,, 0 €) - 01 July 2010",2010,1,Silvestre,1,,,2
departure," ,, 0 €) - 01 July 2010",2010,1,Gallas,1,,,2
arrival," , (,, B.L.) - 20 Dece 2009",2009,1,Lowry,2,Plymouth,Aston Villa,1
arrival," , (,, 7 M€) - 02 Sept 2009",2009,1,Dunne,2,Man City,Aston Villa,1
arrival," , (,, 7 M€) - 01 Sept 2009",2009,1,Collins,2,West Ham,Aston Villa,1
departure," ,, 0 €) - 25 May 2006",2006,1,Pirès,1,Villarreal,,2
departure," ,, 0 €) - 18 May 2006",2006,1,Bergkamp,1,,,2
departure," ,, 12 M€) - 30 July 2007",2007,1,Reyes,1,Atlético Madrid,,2
departure," ,, 4.5 M€) - 23 July 2007",2007,1,Ljungberg,1,West Ham,,2
departure," ,, B.L.) - 01 July 2007",2007,1,Baptista,1,Real Madrid,,2
departure," ,, 0 €) - 27 June 2005",2005,1,Taylor,1,Aston Villa,,2
departure," ,, 0 €) - 30 May 2005",2005,1,Edu,1,Valencia CF,,2
arrival," , (,, B.L.) - 19 Nove 2005",2005,1,Whittingham,2,Derby County,Aston Villa,1
departure," ,, 0 €) - 01 July 2008",2008,1,Flamini,1,AC Milan,,2
departure," ,, 0 €) - 04 June 2008",2008,1,Lehmann,1,Stuttgart,,2
arrival," , (,, 3.7 M€) - 23 Janu 2009",2008,1,Heskey,2,Wigan,Aston Villa,1
departure," ,, L.) - 01 Sept 2014",2014,1,Miyaichi,1,FC Twente,,2
departure," ,, 18 M€) - 09 Augu 2014",2014,1,Vermaelen,1,Barcelona,,2
departure," ,, L.) - 01 Augu 2014",2014,1,Jenkinson,1,West Ham,,2
departure," ,, L.) - 05 July 2013",2013,1,Coquelin,1,Freiburg,,2
departure," ,, 2.4 M€) - 03 July 2013",2013,1,Mannone,1,Sunderland,,2
arrival," , (,, B.L.) - 01 July 2011",2011,1,Vela,1,WBA,Arsenal,1
arrival," , (,, B.L.) - 01 July 2011",2011,1,Traoré,1,Juventus,Arsenal,1
arrival," , (,, B.L.) - 01 July 2011",2011,1,Coquelin,1,Lorient,Arsenal,1
departure," ,, 19 M€) - 18 Augu 2012",2012,1,Song,1,Barcelona,,2
departure," ,) - 17 Augu 2012",2012,1,Bartley,1,Swansea,,2
departure," ,, 30 M€) - 15 Augu 2012",2012,1,van Persie,1,Man U,,2
arrival," , (,, B.L.) - 28 Apri 2011",2010,1,Bannan,2,Leeds United,Aston Villa,1
arrival," , (man., ,) - 21 Apri 2011",2010,1,McAllister,2,Aston Villa,Aston Villa,1
arrival," , (,) - 28 Augu 2009",2009,1,Warnock,2,Blackburn,Aston Villa,1
arrival," , (,, 0 €) - 12 Augu 2009",2009,1,Marshall,2,,Aston Villa,1
arrival," , (,, 2.9 M€) - 07 Augu 2009",2009,1,Beye,2,Newcastle,Aston Villa,1
arrival," , (,, 1.5 M€) - 31 Janu 2007",2006,1,Maloney,2,Celtic,Aston Villa,1
arrival," , (,, 14.7 M€) - 23 Janu 2007",2006,1,Young,2,Watford,Aston Villa,1
arrival," , (,, 0 €) - 22 Janu 2007",2006,1,Carew,2,Lyon,Aston Villa,1
departure," ,, 24 M€) - 25 June 2007",2007,1,Henry,1,Barcelona,,2
departure," ,, 3 M€) - 19 June 2007",2007,1,Aliadière,1,Middlesbrough,,2
departure," ,) - 26 May 2007",2007,1,Poom,1,Watford,,2
arrival," , (,, L.) - 31 Augu 2005",2005,1,Milner,2,Newcastle,Aston Villa,1
arrival," , (,, L.) - 31 Augu 2005",2005,1,Bakke,2,Leeds United,Aston Villa,1
arrival," , (,, B.L.) - 01 Janu 2009",2008,1,Routledge,2,Cardiff City,Aston Villa,1
arrival," , (,) - 29 Augu 2008",2008,1,Milner,2,Newcastle,Aston Villa,1
arrival," , (,, 10 M€) - 11 Augu 2008",2008,1,Cuéllar,2,Rangers,Aston Villa,1
departure," ,, B.L.) - 01 July 2014",2014,1,Källström,1,Spartak M.,,2
departure," ,, B.L.) - 01 July 2014",2014,1,Viviano,1,Palermo,,2
departure," ,) - 01 July 2014",2014,1,Fabianski,1,Swansea,,2
departure," ,, 0 €) - 01 July 2013",2013,1,Arshavin,1,Zenit St. Petersburg,,2
departure," ,, 0 €) - 01 July 2013",2013,1,Squillaci,1,,,2
arrival," , (,, B.L.) - 23 Apri 2014",2013,1,Siegrist,2,Cambridge,Aston Villa,1
